snapped_at,price,market_cap,total_volume
2022-12-16 00:00:00 UTC,4.654269745774839,605015141.6271275,80156758.30878651
2022-12-17 00:00:00 UTC,4.050071369973214,525295385.4100038,76865560.37232828
2022-12-18 00:00:00 UTC,4.102627083335125,532501110.8615467,56965828.374475755
2022-12-19 00:00:00 UTC,4.069182097809369,529529360.190139,28936071.20404271
2022-12-20 00:00:00 UTC,3.8047441643915976,495448639.6008284,56262958.80500271
2022-12-21 00:00:00 UTC,3.9141596317698233,508745366.8905825,53702451.51666067
2022-12-22 00:00:00 UTC,3.774069468873074,490309221.53408,45598992.66781174
2022-12-23 00:00:00 UTC,3.7179582064144263,483024269.4230921,51477680.26021479
2022-12-24 00:00:00 UTC,3.756511840585257,487992038.9169999,31613822.891062524
2022-12-25 00:00:00 UTC,3.711063428570643,482454910.8766175,17532788.146672692
2022-12-26 00:00:00 UTC,3.580884322950589,464866897.09783816,31730031.23721201
2022-12-27 00:00:00 UTC,3.6497760871823797,474216966.7327949,25872756.974039353
2022-12-28 00:00:00 UTC,3.5920825719772616,466647706.37948203,30184186.950256452
2022-12-29 00:00:00 UTC,3.232105709108722,419747469.3192985,82683796.60700181
2022-12-30 00:00:00 UTC,3.210360666041266,417006218.5597131,53293146.95911519
2022-12-31 00:00:00 UTC,3.4011592033133753,440973709.85482323,76701214.83846684
2023-01-01 00:00:00 UTC,3.454555553933522,449080640.67450416,67965746.85272548
2023-01-02 00:00:00 UTC,3.527858081113924,458510051.86835474,38601126.56380268
2023-01-03 00:00:00 UTC,3.7550337625772285,488442740.77651244,104349171.30133104
2023-01-04 00:00:00 UTC,3.8254969319710934,495682515.60651904,112810954.45923682
2023-01-05 00:00:00 UTC,3.8184969776730693,496146348.04220957,119960565.56682694
2023-01-06 00:00:00 UTC,3.7005992990371976,481200273.0782443,65095640.45802877
2023-01-07 00:00:00 UTC,3.8612219257457645,502192623.16889405,62690703.18705079
2023-01-08 00:00:00 UTC,3.8286860633898168,497293149.49923843,32058926.836132966
2023-01-09 00:00:00 UTC,3.8833627933889825,504571878.54711545,45662887.392606445
2023-01-10 00:00:00 UTC,5.21925390348685,677800889.762005,377751094.0312269
2023-01-11 00:00:00 UTC,5.527780235157571,717896235.9924748,491394877.6241696
2023-01-12 00:00:00 UTC,5.294782496188447,691751314.0990736,319777787.8189638
2023-01-13 00:00:00 UTC,6.549291497974116,847009376.3356981,530239067.6455669
2023-01-14 00:00:00 UTC,6.83925311214253,888747639.2771753,619190030.6473941
2023-01-15 00:00:00 UTC,7.741679475977941,1013306381.0759871,954860073.233542
2023-01-16 00:00:00 UTC,7.961003480940155,1258592520.8699505,757620768.3548453
2023-01-17 00:00:00 UTC,8.14870211580126,1291615865.7004342,598040804.986893
2023-01-18 00:00:00 UTC,7.675183226267742,1226232734.9773688,314469223.8938686
2023-01-19 00:00:00 UTC,7.646643321889705,1220680881.809558,365462903.6729667
2023-01-20 00:00:00 UTC,7.895756137571257,1260093871.6975272,250507765.66983512
2023-01-21 00:00:00 UTC,10.941181689562757,1740634019.6862657,824609870.6240156
2023-01-22 00:00:00 UTC,11.792186629362417,1893595346.577045,1888871322.4341779
2023-01-23 00:00:00 UTC,13.353711304507002,2149733853.030506,1002157789.6130944
2023-01-24 00:00:00 UTC,12.896647130536616,2061128649.0762556,580978487.2450284
2023-01-25 00:00:00 UTC,12.297977434654335,1980498762.7413225,404694635.71007925
2023-01-26 00:00:00 UTC,18.35650243840218,2939906026.8029146,2473541068.7400713
2023-01-27 00:00:00 UTC,18.24425764858573,2930306339.501127,1059280613.5321277
2023-01-28 00:00:00 UTC,17.712451032611295,2844218884.088629,597977078.83814
2023-01-29 00:00:00 UTC,17.8622188950866,2873029957.5206113,730493669.7828447
2023-01-30 00:00:00 UTC,18.417469361258267,2959909717.770721,522359834.9477285
2023-01-31 00:00:00 UTC,17.240237010604513,2776229680.789633,826614003.9364268
2023-02-01 00:00:00 UTC,16.765603325585705,2701971945.1079035,474538524.1264252
2023-02-02 00:00:00 UTC,18.19736625425798,2920830683.384424,423900395.9092547
2023-02-03 00:00:00 UTC,17.23158420467785,2782918046.4970818,527518593.7813107
2023-02-04 00:00:00 UTC,17.069542985598765,2766113177.848958,630491154.1898009
2023-02-05 00:00:00 UTC,16.516895773366514,2675385064.578784,221893014.95025066
2023-02-06 00:00:00 UTC,15.489121977525466,2513783701.84382,383951543.0242808
2023-02-07 00:00:00 UTC,14.941217459450284,2422193132.0067077,455734494.80133015
2023-02-08 00:00:00 UTC,16.11606750245092,2613401071.3991575,706266960.8230273
2023-02-09 00:00:00 UTC,15.112572186439548,2459636888.4915323,325786173.1835797
2023-02-10 00:00:00 UTC,13.279314894546129,2163558099.3583055,477252022.56972015
2023-02-11 00:00:00 UTC,13.613384551521149,2222657163.2144146,427420799.80719477
2023-02-12 00:00:00 UTC,13.969148269498893,2277889067.4260306,437608204.5535167
2023-02-13 00:00:00 UTC,13.069369571471315,2133335741.1798258,229924739.13137957
2023-02-14 00:00:00 UTC,13.776958138356683,2312835305.5399523,363652497.53696424
2023-02-15 00:00:00 UTC,14.722390788037732,2473259649.475226,435778779.0979098
2023-02-16 00:00:00 UTC,15.95547669478355,2682426115.7695165,618746455.7718123
2023-02-17 00:00:00 UTC,14.745243196559679,2480280843.9572415,686281057.4666462
2023-02-18 00:00:00 UTC,14.718857652558878,2485343837.5080867,554867714.6249095
2023-02-19 00:00:00 UTC,14.417397201771829,2432729887.871467,254299648.85852286
2023-02-20 00:00:00 UTC,14.0640277125676,2384984970.5397525,355114334.7712974
2023-02-21 00:00:00 UTC,14.199863713231615,2400040067.0644608,199961502.3216557
2023-02-22 00:00:00 UTC,13.41929875742248,2265958271.1657233,251007722.42366087
2023-02-23 00:00:00 UTC,13.919160867143479,2365894640.7655435,334268937.2564262
2023-02-24 00:00:00 UTC,13.46530904092671,2278628285.195083,205462887.09315568
2023-02-25 00:00:00 UTC,12.823439257139821,2178452622.489228,206206940.65208006
2023-02-26 00:00:00 UTC,12.244514577403681,2074969004.4010355,241174035.23274723
2023-02-27 00:00:00 UTC,12.651170547354596,2151851645.3113,163091460.72586766
2023-02-28 00:00:00 UTC,12.400605155152407,2110535660.0211024,159202892.94025177
2023-03-01 00:00:00 UTC,11.9062204764544,2023930771.580839,180098537.83881044
2023-03-02 00:00:00 UTC,13.399756636799312,2270629976.5594263,508001195.7920052
2023-03-03 00:00:00 UTC,12.832034146222627,2195427107.3721576,330116507.00182265
2023-03-04 00:00:00 UTC,11.723919132360164,2000884780.8827949,315240592.68133307
2023-03-05 00:00:00 UTC,11.301581393091817,1929162273.3796515,166727333.17728817
2023-03-06 00:00:00 UTC,11.16722766705412,1908768878.362193,138378023.02487907
2023-03-07 00:00:00 UTC,11.289922332449173,1934190952.3169973,148526546.30366823
2023-03-08 00:00:00 UTC,11.119448565276247,1900572353.079794,208802962.4221674
2023-03-09 00:00:00 UTC,10.545334689614092,1812692831.517961,182401214.40195194
2023-03-10 00:00:00 UTC,11.084854380788041,1883057315.8950446,447993459.38741434
2023-03-11 00:00:00 UTC,10.788222182513602,1860961558.083409,614048509.1593094
2023-03-12 00:00:00 UTC,10.483223324291496,1790054007.3515792,392069365.6118045
2023-03-13 00:00:00 UTC,11.947175417030856,2050822009.9124618,383971271.2957591
2023-03-14 00:00:00 UTC,12.342647045518953,2185573039.358831,560177866.9317515
2023-03-15 00:00:00 UTC,13.662413296251753,2432296467.5350294,949674779.3992952
2023-03-16 00:00:00 UTC,12.281424814734256,2175114004.676178,481129573.82941127
2023-03-17 00:00:00 UTC,12.46442609124225,2215188830.015187,389642777.4736075
2023-03-18 00:00:00 UTC,13.587599654902919,2393550172.8730645,478690361.55746406
2023-03-19 00:00:00 UTC,12.830863539120562,2284559963.439774,404819175.32258373
2023-03-20 00:00:00 UTC,13.169016011506418,2355177356.603246,296176062.80763716
2023-03-21 00:00:00 UTC,12.17944006567915,2171199388.549233,222744584.68483737
2023-03-22 00:00:00 UTC,12.337334106322228,2197401433.3889375,184487721.97577295
2023-03-23 00:00:00 UTC,13.222879335038343,2352924950.658971,357698780.6842727
2023-03-24 00:00:00 UTC,13.292892766950795,2371771721.4019365,313560333.6769115
2023-03-25 00:00:00 UTC,12.212621298562704,2195461987.4674187,203523405.80771258
2023-03-26 00:00:00 UTC,11.66561925907109,2085395899.861913,103037127.17327738
2023-03-27 00:00:00 UTC,11.890239957954854,2133550099.0131154,102342027.57848214
2023-03-28 00:00:00 UTC,11.141668186253888,1992507511.9109173,117173748.28618795
2023-03-29 00:00:00 UTC,11.261760183116097,2017583122.1506221,109669119.95148481
2023-03-30 00:00:00 UTC,11.65464323035239,2094054016.8793635,100156957.13060702
2023-03-31 00:00:00 UTC,11.1449152863985,2002006135.9634147,165519910.64612082
2023-04-01 00:00:00 UTC,11.398776481863546,2050447139.4573889,151222090.5039977
2023-04-02 00:00:00 UTC,11.26577065906314,2029198457.706946,76533789.69759375
2023-04-03 00:00:00 UTC,12.293790776352509,2210806318.9530272,477814735.5597564
2023-04-04 00:00:00 UTC,11.339395175227034,2051036024.396989,217119427.26231778
2023-04-05 00:00:00 UTC,11.499818845620222,2073853529.9510443,109614879.14361498
2023-04-06 00:00:00 UTC,11.55961228852334,2091902285.7541623,157469345.09008574
2023-04-07 00:00:00 UTC,11.444353614025527,2067360591.158361,143860196.67198834
2023-04-08 00:00:00 UTC,11.162245904362337,2019375073.8432634,104934405.2383911
2023-04-09 00:00:00 UTC,11.054522994338372,2003510695.697237,93218896.10461488
2023-04-10 00:00:00 UTC,11.081432566463816,2010853252.2311463,81581007.116299
2023-04-11 00:00:00 UTC,11.435660747881398,2074047712.8195963,91648372.75150548
2023-04-12 00:00:00 UTC,11.781979469311812,2139981496.7599816,229849811.2501989
2023-04-13 00:00:00 UTC,11.38287785797655,2072204046.2419553,196218148.354607
2023-04-14 00:00:00 UTC,12.395318769557742,2323089455.063825,216375895.44923565
2023-04-15 00:00:00 UTC,12.691269714846593,2375659517.9309316,401665590.1630455
2023-04-16 00:00:00 UTC,12.593530531691927,2355642350.2219424,142812081.59838647
2023-04-17 00:00:00 UTC,12.599485619259111,2353925535.0539865,106187840.7878848
2023-04-18 00:00:00 UTC,12.293668109710623,2297315789.353157,154887156.817242
2023-04-19 00:00:00 UTC,12.685040032583004,2378350922.9252806,124808192.96604413
2023-04-20 00:00:00 UTC,11.358852801278214,2131384348.968952,227806312.9735876
2023-04-21 00:00:00 UTC,11.03801175026436,2069427451.4974406,137943161.71982527
2023-04-22 00:00:00 UTC,10.165375194516791,1909659125.9662106,180826571.15720457
2023-04-23 00:00:00 UTC,10.355904857170797,1946826439.206555,107780743.83997187
2023-04-24 00:00:00 UTC,10.23060676424017,1912879738.5889761,95979590.70292158
2023-04-25 00:00:00 UTC,10.229597080544368,1926871876.6802382,113072304.52526733
2023-04-26 00:00:00 UTC,10.378464461071866,1958460977.1460164,134109345.38137099
2023-04-27 00:00:00 UTC,10.042945296903575,1893575155.5372577,207882178.1818175
2023-04-28 00:00:00 UTC,10.17143286485243,1918496179.7407718,130369760.7566749
2023-04-29 00:00:00 UTC,10.182172238811923,1924332451.5768118,67401496.16432221
2023-04-30 00:00:00 UTC,10.762360653633014,2034667587.2834327,140477004.80125135
2023-05-01 00:00:00 UTC,10.462272998952272,1984603540.1823363,114198566.0598692
2023-05-02 00:00:00 UTC,9.935428628265013,1881867974.7162347,118901060.78088148
2023-05-03 00:00:00 UTC,9.938497226559583,1884460837.4710674,58562934.61889266
2023-05-04 00:00:00 UTC,9.988293926219134,1894904060.990424,138954220.38531125
2023-05-05 00:00:00 UTC,9.671467349645962,1835888503.987725,59582767.26832035
2023-05-06 00:00:00 UTC,9.857634979329157,1874347219.6865313,67825294.7290743
2023-05-07 00:00:00 UTC,9.226662443767097,1753264600.222214,93017983.33422476
2023-05-08 00:00:00 UTC,9.24743793226719,1762041623.0887172,50594104.06960091
2023-05-09 00:00:00 UTC,8.31615376678674,1584977631.94022,130511046.98432408
2023-05-10 00:00:00 UTC,8.355204159221817,1594731528.6958628,54287386.52864858
2023-05-11 00:00:00 UTC,8.620997096521597,1646806999.0572174,121482894.51869369
2023-05-12 00:00:00 UTC,8.096869859033365,1548374024.413845,94817536.05440585
2023-05-13 00:00:00 UTC,8.305650853847078,1590347736.4405334,88892954.02963707
2023-05-14 00:00:00 UTC,8.303137725388583,1631872814.4518445,44234184.70918127
2023-05-15 00:00:00 UTC,8.474202216901348,1665390992.9887831,52151583.7619667
2023-05-16 00:00:00 UTC,8.60351431985185,1689482710.9767962,81027314.05517198
2023-05-17 00:00:00 UTC,8.537927780203068,1678016542.6307702,74081375.17771561
2023-05-18 00:00:00 UTC,8.717629738752965,1715207731.261392,70534962.8016674
2023-05-19 00:00:00 UTC,8.53099936513904,1684163010.8792725,71027036.7000163
2023-05-20 00:00:00 UTC,8.438907098794353,1663281815.8862624,44701609.61880204
2023-05-21 00:00:00 UTC,8.44866683847371,1665582266.3090382,27873578.806695007
2023-05-22 00:00:00 UTC,8.168998635478305,1613614152.8240852,32187774.563515257
2023-05-23 00:00:00 UTC,8.10606085100851,1601540650.0315216,36898485.20605187
2023-05-24 00:00:00 UTC,8.521712927916356,1683588566.2417903,49154619.81944645
2023-05-25 00:00:00 UTC,8.087436880843812,1602472795.8856864,66041010.49857972
2023-05-26 00:00:00 UTC,7.977231130832835,1580486974.028132,40424630.87507357
2023-05-27 00:00:00 UTC,8.07467731604224,1601175927.6089013,36137207.36005545
2023-05-28 00:00:00 UTC,8.227654125750737,1631669955.360523,26753857.09552994
2023-05-29 00:00:00 UTC,8.53404112653672,1695505719.7636423,87542537.96215424
2023-05-30 00:00:00 UTC,8.5343055431531,1697521730.3372731,80065371.12989658
2023-05-31 00:00:00 UTC,8.497656042530378,1690476322.9299054,59448849.625882655
2023-06-01 00:00:00 UTC,8.358050382432573,1664645775.0810473,97389507.37235689
2023-06-02 00:00:00 UTC,8.552965105317387,1706859405.862245,72067269.27876438
2023-06-03 00:00:00 UTC,9.048924226067772,1806177568.9212954,134166240.92160256
2023-06-04 00:00:00 UTC,8.979628397377047,1793783292.152886,47003827.530381456
2023-06-05 00:00:00 UTC,9.219643214806267,1840419235.3434129,98210367.77876511
2023-06-06 00:00:00 UTC,8.147851032324942,1627958589.038387,182470521.98625293
2023-06-07 00:00:00 UTC,8.236088536753025,1648677841.403657,103043094.13733852
2023-06-08 00:00:00 UTC,7.698848691632444,1541963310.3383682,74930236.61122888
2023-06-09 00:00:00 UTC,7.685380088936008,1539854162.700206,52698228.01245814
2023-06-10 00:00:00 UTC,7.422287229836325,1482965721.4591222,67233725.82706988
2023-06-11 00:00:00 UTC,6.022481719364033,1210879188.0390258,211693522.98879382
2023-06-12 00:00:00 UTC,6.2498931902772465,1255473268.4667041,95006222.87751076
2023-06-13 00:00:00 UTC,6.261408417112019,1258367044.8784819,94928128.35651936
2023-06-14 00:00:00 UTC,6.24797064352718,1285948221.3057137,72249356.38084522
2023-06-15 00:00:00 UTC,6.034767476203692,1241569808.5339768,77911769.73421647
2023-06-16 00:00:00 UTC,6.205830564165712,1278924978.5078492,60509887.919605516
2023-06-17 00:00:00 UTC,6.294286314210735,1299427990.4302607,44599330.89775309
2023-06-18 00:00:00 UTC,6.988037565558361,1442007760.2205498,127462727.17679344
2023-06-19 00:00:00 UTC,6.713698252145276,1387357011.8255725,96876468.7592288
2023-06-20 00:00:00 UTC,6.934093882974327,1431947378.465972,62032911.14241922
2023-06-21 00:00:00 UTC,7.215235859935334,1490737124.8696485,87414717.45798577
2023-06-22 00:00:00 UTC,7.495758700578311,1552453764.7534919,132794769.9254994
2023-06-23 00:00:00 UTC,7.357377636969277,1525506110.5469112,88573142.55009705
2023-06-24 00:00:00 UTC,7.641631100499998,1584193121.489605,88137572.72066106
2023-06-25 00:00:00 UTC,7.345981575826399,1522561791.3206723,62189706.84288071
2023-06-26 00:00:00 UTC,7.557364847043626,1570384001.4694672,75500647.62586564
2023-06-27 00:00:00 UTC,7.2751596935138645,1507648169.8236697,97108734.93074878
2023-06-28 00:00:00 UTC,7.428595963321176,1543215939.3221164,51748175.31889972
2023-06-29 00:00:00 UTC,6.931908327671939,1445082856.095849,67886722.32832876
2023-06-30 00:00:00 UTC,7.150065120978549,1499028326.0326076,83080726.34808396
2023-07-01 00:00:00 UTC,7.2651745513591095,1515588254.3025203,148368705.108373
2023-07-02 00:00:00 UTC,7.352356098277405,1531587313.7371483,48576269.576611266
2023-07-03 00:00:00 UTC,7.336822819708458,1531022410.777849,66590680.48415398
2023-07-04 00:00:00 UTC,7.480900838403951,1567817920.9659832,67911967.2957931
2023-07-05 00:00:00 UTC,7.744261298494201,1628028469.9309077,236633849.76431206
2023-07-06 00:00:00 UTC,7.4189181504895485,1553927119.151266,93896468.65536049
2023-07-07 00:00:00 UTC,7.140149636630032,1497240657.543613,79218603.24098088
2023-07-08 00:00:00 UTC,7.219221976824679,1513384873.8644772,54444345.626541145
2023-07-09 00:00:00 UTC,7.064509342757121,1482972771.99038,46510500.35544976
2023-07-10 00:00:00 UTC,7.08265683860269,1487538351.4773407,40391620.42111583
2023-07-11 00:00:00 UTC,7.087490803762552,1489214653.7577171,66494283.702595495
2023-07-12 00:00:00 UTC,7.036982888439589,1481135697.442997,46367274.52386916
2023-07-13 00:00:00 UTC,6.986804648344796,1471857983.5580719,53577262.41628042
2023-07-14 00:00:00 UTC,7.563562949409094,1626708432.182907,125900813.54420085
2023-07-15 00:00:00 UTC,7.36463766976954,1583545642.6051598,169065514.215638
2023-07-16 00:00:00 UTC,7.448121459122437,1605365030.3776352,66378954.23160131
2023-07-17 00:00:00 UTC,7.41473259891613,1596130684.7471514,74049765.60385662
2023-07-18 00:00:00 UTC,7.836708014002402,1696341904.4683232,140070328.25038248
2023-07-19 00:00:00 UTC,7.588440404777342,1638939688.0904746,102016702.6770362
2023-07-20 00:00:00 UTC,7.567941259220503,1636395331.2280412,50383464.13494407
2023-07-21 00:00:00 UTC,7.415754950004612,1607365695.9387193,46227568.62686495
2023-07-22 00:00:00 UTC,7.53942254680687,1632676624.796034,43159795.10480815
2023-07-23 00:00:00 UTC,7.6605970601086835,1662875194.5514152,59147459.59928426
2023-07-24 00:00:00 UTC,7.58416912996433,1646177676.4237673,44629533.86957697
2023-07-25 00:00:00 UTC,7.054579393882136,1530639319.9067633,68772492.17688455
2023-07-26 00:00:00 UTC,6.975259363482158,1515382718.2206862,48439495.23542378
2023-07-27 00:00:00 UTC,7.021907505351535,1526228210.2963386,52106988.189277425
2023-07-28 00:00:00 UTC,7.065134741613095,1537833651.0906029,40596864.649612434
2023-07-29 00:00:00 UTC,7.069543713908727,1540527987.200828,30988510.744318757
2023-07-30 00:00:00 UTC,7.141532485414448,1556629223.4969082,24545610.96202444
2023-07-31 00:00:00 UTC,7.030007214047083,1534869429.1414268,38131797.717535414
2023-08-01 00:00:00 UTC,7.050986213486642,1540496630.230097,32867888.677390568
2023-08-02 00:00:00 UTC,7.051770474417647,1538133863.3824985,48628436.67857585
2023-08-03 00:00:00 UTC,6.856241612062884,1500753471.398414,45225088.9288131
2023-08-04 00:00:00 UTC,6.768274507021274,1483757063.3101385,45827347.592891246
2023-08-05 00:00:00 UTC,6.697250000334796,1467117726.6566343,48749238.314725116
2023-08-06 00:00:00 UTC,6.716847186397997,1472421411.42853,36695803.45856475
2023-08-07 00:00:00 UTC,6.695469056526986,1468887985.8729603,52982000.08963493
2023-08-08 00:00:00 UTC,6.659586370664704,1461695111.3202198,63108783.299351394
2023-08-09 00:00:00 UTC,6.70230115044482,1473037120.5911708,63591578.22216361
2023-08-10 00:00:00 UTC,7.3874632738090815,1624395483.6792626,386388886.983367
2023-08-11 00:00:00 UTC,7.160091706498251,1577903338.7754264,268281312.81861073
2023-08-12 00:00:00 UTC,7.097120408398107,1563613850.6930814,105145636.68739566
2023-08-13 00:00:00 UTC,7.203746762282764,1585216173.4914682,58600454.11121992
2023-08-14 00:00:00 UTC,7.058093876986651,1587625972.8948743,65344754.33082592
2023-08-15 00:00:00 UTC,7.065961682787328,1593945357.3895688,58565708.03607671
2023-08-16 00:00:00 UTC,6.5373052801565965,1473726876.3354568,102847761.18191597
2023-08-17 00:00:00 UTC,6.18042153756624,1396851597.565863,128741749.93592606
2023-08-18 00:00:00 UTC,5.663211701325019,1282477758.1181903,135258341.8238553
2023-08-19 00:00:00 UTC,5.827033760075455,1315365889.0715358,118003565.33919756
2023-08-20 00:00:00 UTC,6.0170123902119,1361002447.3119433,75849246.93307878
2023-08-21 00:00:00 UTC,6.062579321349341,1371456103.459136,74208430.96329969
2023-08-22 00:00:00 UTC,5.950175941370435,1348784567.2039716,62843190.713881314
2023-08-23 00:00:00 UTC,5.84268075484044,1323432593.69648,72598832.25065519
2023-08-24 00:00:00 UTC,6.017636649242092,1364953049.7571146,73882364.20047526
2023-08-25 00:00:00 UTC,5.812555682721601,1317009271.2613783,61115546.28614003
2023-08-26 00:00:00 UTC,5.69438074459783,1293927554.8484602,61903135.29328503
2023-08-27 00:00:00 UTC,5.731616640438073,1302332290.5368478,33627905.15399247
2023-08-28 00:00:00 UTC,5.696978657603265,1295991713.471256,50715541.47779356
2023-08-29 00:00:00 UTC,5.739528799749499,1307099937.0408044,54121204.30431802
2023-08-30 00:00:00 UTC,5.898211348228826,1340890850.683731,78298714.0465896
2023-08-31 00:00:00 UTC,5.783875793953248,1319676781.2470543,56019654.29656902
2023-09-01 00:00:00 UTC,5.5181313779559815,1259216695.9917872,65046532.17029228
2023-09-02 00:00:00 UTC,5.506312436808973,1258364886.4775004,44479049.77943643
2023-09-03 00:00:00 UTC,5.58046470003155,1276522291.8491333,44891572.68786248
2023-09-04 00:00:00 UTC,5.465449418288326,1252068854.2003634,46845675.147128366
2023-09-05 00:00:00 UTC,5.5105049286026135,1258737134.7939498,42232314.20251201
2023-09-06 00:00:00 UTC,5.527348585769379,1265902163.0472372,36463249.363331854
2023-09-07 00:00:00 UTC,5.531248555146423,1269089074.736192,44294364.81262452
2023-09-08 00:00:00 UTC,5.630529428538788,1291427226.1236527,51905023.705643125
2023-09-09 00:00:00 UTC,5.520165826167734,1266814682.8056276,47329283.14940967
2023-09-10 00:00:00 UTC,5.478625726528756,1259045841.1812096,29628824.22116122
2023-09-11 00:00:00 UTC,5.168596416215694,1190246424.429565,63133011.693729214
2023-09-12 00:00:00 UTC,5.004098305155326,1150122970.0342734,84778771.45557179
2023-09-13 00:00:00 UTC,5.045149851190249,1161613247.4675422,77592972.85140981
2023-09-14 00:00:00 UTC,5.186663477795912,1219042249.3555927,91760111.71530567
2023-09-15 00:00:00 UTC,5.212904723439437,1226606422.866817,65224442.82036
2023-09-16 00:00:00 UTC,5.266446500916959,1239123775.3983362,51450569.193395935
2023-09-17 00:00:00 UTC,5.318047711497933,1251974085.5377452,48835585.918165244
2023-09-18 00:00:00 UTC,5.235006959418091,1229100577.7352083,59558099.18170758
2023-09-19 00:00:00 UTC,5.181309731577466,1221928874.2719615,63861612.87741196
2023-09-20 00:00:00 UTC,5.224390491543782,1231098368.0505826,36283827.82464967
2023-09-21 00:00:00 UTC,5.170555901579065,1222236577.3490021,43853473.92218974
2023-09-22 00:00:00 UTC,5.094941145435341,1203972936.7475832,52248925.87980026
2023-09-23 00:00:00 UTC,5.133766590350085,1214370352.5287008,26603240.49428383
2023-09-24 00:00:00 UTC,5.146978291512146,1217451780.1042612,22125477.79806083
2023-09-25 00:00:00 UTC,5.31300104565103,1253662524.130388,121566781.77331856
2023-09-26 00:00:00 UTC,5.559595281065039,1315620932.6225915,166801518.8802764
2023-09-27 00:00:00 UTC,5.311954158020525,1258844779.9502857,108159918.27151777
2023-09-28 00:00:00 UTC,5.3179588537605635,1260705301.1211834,80551361.61078767
2023-09-29 00:00:00 UTC,5.3281442133386525,1265218663.6197286,119949769.7039278
2023-09-30 00:00:00 UTC,5.3996572611455775,1284339150.382905,129905803.40229993
2023-10-01 00:00:00 UTC,5.480062582117046,1303848706.430352,74963193.71271308
2023-10-02 00:00:00 UTC,5.665650338131226,1349620626.067617,89237975.39649253
2023-10-03 00:00:00 UTC,5.45014793252651,1297693760.5535643,119064443.47741333
2023-10-04 00:00:00 UTC,5.351899915391498,1276630349.0756803,50843656.91294992
2023-10-05 00:00:00 UTC,5.3278117904928495,1270711593.4212768,49257983.42422613
2023-10-06 00:00:00 UTC,5.228878264949585,1248500220.4955792,30347032.71264262
2023-10-07 00:00:00 UTC,5.335694630980493,1274376435.9916265,30753241.006838027
