snapped_at,price,market_cap,total_volume
2023-07-24 00:00:00 UTC,2.1862579248328444,228624084.43289766,470269510.69486445
2023-07-25 00:00:00 UTC,2.1862579248328444,228624084.43289766,470269510.69486445
2023-07-26 00:00:00 UTC,2.2800309808203476,247940366.57581592,346035016.43172157
2023-07-27 00:00:00 UTC,2.2405887084201876,247627045.2220247,255223279.80696926
2023-07-28 00:00:00 UTC,2.1019364840263055,232832250.24071258,122798629.57377918
2023-07-29 00:00:00 UTC,2.2218486216605777,248924610.69487822,114710501.00497343
2023-07-30 00:00:00 UTC,2.3490790184737262,265653509.96505094,116263799.12643072
2023-07-31 00:00:00 UTC,2.285819272127601,260857130.1727139,135838033.8536866
2023-08-01 00:00:00 UTC,2.3193047097949417,265981030.1820794,92717598.58270985
2023-08-02 00:00:00 UTC,2.429513429882892,281400496.87003356,88660699.43694605
2023-08-03 00:00:00 UTC,2.358061208163573,275164817.9144305,126708296.67611113
2023-08-04 00:00:00 UTC,2.3309257371643834,274298303.04617506,56206067.14318723
2023-08-05 00:00:00 UTC,2.1693520155409804,256753055.44338056,52809811.93324808
2023-08-06 00:00:00 UTC,2.120689495306523,252021697.7116032,39568190.24978738
2023-08-07 00:00:00 UTC,2.04137973216826,244114455.0991738,49453688.55199602
2023-08-08 00:00:00 UTC,2.0380286033097588,247563518.01764667,55429136.51859149
2023-08-09 00:00:00 UTC,1.9353354358519295,238280086.71542013,70283347.6827687
2023-08-10 00:00:00 UTC,1.8315766950048937,226483841.54647234,52541453.12487163
2023-08-11 00:00:00 UTC,1.6780980938482408,208665800.34856597,66199351.23301794
2023-08-12 00:00:00 UTC,1.7432575539811066,217125040.48200673,55764151.362524375
2023-08-13 00:00:00 UTC,1.7564518941362126,219078629.97761172,41375395.39363957
2023-08-14 00:00:00 UTC,1.7717940642196752,221543853.30072922,39468043.93282884
2023-08-15 00:00:00 UTC,1.7722050780428824,222452653.24029332,35583785.0043988
2023-08-16 00:00:00 UTC,1.6169073587385225,203989244.27082345,43049201.45249987
2023-08-17 00:00:00 UTC,1.5245429863574387,192584015.86794734,60584420.94326273
2023-08-18 00:00:00 UTC,1.359168188435916,172032453.1881129,58544419.046146736
2023-08-19 00:00:00 UTC,1.5461274044129554,195447991.98602292,83393114.63971904
2023-08-20 00:00:00 UTC,1.4788520118030584,187132422.51394746,41659989.75064136
2023-08-21 00:00:00 UTC,1.4670042571101007,185692806.37796614,38845936.22326055
2023-08-22 00:00:00 UTC,1.4728411120404146,186870911.32502514,38569512.866313204
2023-08-23 00:00:00 UTC,1.4341313760010423,181295413.05030102,34941387.56583184
2023-08-24 00:00:00 UTC,1.4052924387532044,178075642.93482858,35972272.67801114
2023-08-25 00:00:00 UTC,1.3932566818207306,176514374.90138227,31869618.031553138
2023-08-26 00:00:00 UTC,1.2670152196496103,160651496.38417336,37165869.001385786
2023-08-27 00:00:00 UTC,1.2931767197774962,164517464.7985357,27189733.86521244
2023-08-28 00:00:00 UTC,1.3100846798625874,166512460.08129978,21129769.94590682
2023-08-29 00:00:00 UTC,1.207573822421328,154359571.27613398,35603587.88735109
2023-08-30 00:00:00 UTC,1.2974397206492696,165804973.54119128,93091909.07599
2023-08-31 00:00:00 UTC,1.2212798977242099,156595699.93264326,64173425.53366116
2023-09-01 00:00:00 UTC,1.1340015566908717,144863621.1282425,49809317.699947976
2023-09-02 00:00:00 UTC,1.1247997425246303,144013214.163721,49263697.46380345
