snapped_at,price,market_cap,total_volume
2023-05-11 00:00:00 UTC,1.9223578473465573e-06,807493916.3958397,395760613.0404395
2023-05-12 00:00:00 UTC,1.404385945044434e-06,592161335.143536,512358306.22881746
2023-05-13 00:00:00 UTC,1.7257881203765283e-06,724945215.3761889,766574522.9188473
2023-05-14 00:00:00 UTC,1.8831931656646124e-06,797979693.9554712,827927509.1083292
2023-05-15 00:00:00 UTC,1.7976576445496967e-06,757521732.6417623,339799599.2006508
2023-05-16 00:00:00 UTC,1.7340603797610076e-06,729020141.9665443,314544807.2621635
2023-05-17 00:00:00 UTC,1.671716042920415e-06,704611673.564928,242858144.46666574
2023-05-18 00:00:00 UTC,1.5781111991678921e-06,664674331.2894682,266204338.56434864
2023-05-19 00:00:00 UTC,1.5912509242563642e-06,674242713.4825983,215363785.20892355
2023-05-20 00:00:00 UTC,1.5301364685293944e-06,646435811.0701307,140729115.5111361
2023-05-21 00:00:00 UTC,1.7240631695041447e-06,724726012.1152519,291980134.6867507
2023-05-22 00:00:00 UTC,1.6056055988447255e-06,677575768.9608785,196805411.58133382
2023-05-23 00:00:00 UTC,1.5334968449999868e-06,645055633.0514376,137066025.10676485
2023-05-24 00:00:00 UTC,1.6070179899669554e-06,676162678.7615135,153416231.1195254
2023-05-25 00:00:00 UTC,1.445632159740262e-06,610661430.8432977,225943783.68619618
2023-05-26 00:00:00 UTC,1.435142215911159e-06,604880018.9012996,149144499.58473134
2023-05-27 00:00:00 UTC,1.4608804077779615e-06,614286160.1028252,128906456.03161246
2023-05-28 00:00:00 UTC,1.524234025735661e-06,640824399.9306661,94012080.18424727
2023-05-29 00:00:00 UTC,1.5011886045162537e-06,632788130.2559596,100017187.21591769
2023-05-30 00:00:00 UTC,1.4379004311108605e-06,605029874.3543324,81755520.94165727
2023-05-31 00:00:00 UTC,1.2970334387299586e-06,545316106.8473295,115964810.69682674
2023-06-01 00:00:00 UTC,1.2648274718677892e-06,533752302.7496974,121021441.73314716
2023-06-02 00:00:00 UTC,1.2459311146416527e-06,524330364.06720567,111850189.73013799
2023-06-03 00:00:00 UTC,1.28282309857131e-06,539722853.6699535,66321079.80105382
2023-06-04 00:00:00 UTC,1.2948508018569547e-06,545200256.9739126,83015796.07122174
2023-06-05 00:00:00 UTC,1.2423712232728042e-06,522276998.13179296,66519455.35843328
2023-06-06 00:00:00 UTC,1.0423026664215976e-06,440198001.7982267,166215361.91587943
2023-06-07 00:00:00 UTC,1.2011241784897232e-06,507786272.21069396,225013178.0998602
2023-06-08 00:00:00 UTC,1.0752713631967462e-06,452431162.26118666,142983072.68634245
2023-06-09 00:00:00 UTC,1.0835623612452038e-06,456233985.2083408,92992838.1037084
2023-06-10 00:00:00 UTC,1.1349249849830234e-06,476617369.06612206,132291925.14957346
2023-06-11 00:00:00 UTC,9.328946238766911e-07,392907685.77103895,203130642.6998988
2023-06-12 00:00:00 UTC,9.157879970850088e-07,382875475.12674373,89435021.25148143
2023-06-13 00:00:00 UTC,9.061530623642614e-07,381697622.45017886,88725549.85642187
