type,url,redirected,status,ok,statusText,body.locked,bodyUsed
basic,https://api.coingecko.com/api/v3/coins/dydx-chain,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/pyth-network,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/bonk,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/conflux-token,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/axie-infinity,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/starknet,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/ether-fi-staked-eth,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/wrapped-eeth,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/the-sandbox,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/kucoin-shares,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/worldcoin-wld,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/singularitynet,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/ordinals,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/mina-protocol,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/akash-network,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/bittorrent,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/havven,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/tokenize-xchange,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/ribbon-finance,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/msol,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/tezos,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/apecoin,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/bitget-token,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/flare-networks,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/whitebit,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/chiliz,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/helium,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/ethena-usde,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/true-usd,false,429,false,Too Many Requests,false,false
basic,https://api.coingecko.com/api/v3/coins/decentraland,false,429,false,Too Many Requests,false,false
