id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.123478,10845061091,15,10845049609,466494033,0.126873,0.123059,-0.002170373353111918,-1.72734,-195141216.3718872,-1.76755,87832071058.0667,87831978067.2517,,0.231673,-46.67381,2018-01-05T00:00:00.000Z,0.00180434,6746.94299,2017-11-12T00:00:00.000Z,,2024-03-18T18:02:30.468Z,63.98850611175321,usd,6398.850611175321
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,18.38,10774842866,16,18352654391,790318278,19.47,18.22,-0.2052043504065857,-1.10437,-143414287.77854156,-1.31353,587099971.3083414,1000000000,1000000000,52.7,-65.09758,2021-05-10T00:13:57.214Z,0.148183,12311.92712,2017-11-29T00:00:00.000Z,,2024-03-18T18:02:34.946Z,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,66868,10393958593,17,10393958593,277297333,69075,66392,-1573.6457312631828,-2.29926,-189908547.15234566,-1.79432,155434.89201022,155434.89201022,155434.89201022,73505,-9.03016,2024-03-14T07:10:23.403Z,3139.17,2030.10971,2019-04-02T00:00:00.000Z,,2024-03-18T18:01:44.170Z,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,1.026,9480312927,18,10212615061,551020553,1.098,1.016,-0.05409098223575137,-5.0088,-538867559.7658787,-5.37836,9282943566.203985,10000000000,10000000000,2.92,-64.83488,2021-12-27T02:08:34.307Z,0.00314376,32520.4107,2019-05-10T00:00:00.000Z,,2024-03-18T18:02:02.520Z,389.0490795949821,usd,38904.90795949821
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,11.78,8847287309,19,11737435066,208145191,12.66,11.6,-0.8189449185357685,-6.50253,-628161346.5189838,-6.62936,753766667,1000000000,1000000000,44.92,-73.8943,2021-05-03T05:25:04.822Z,1.03,1038.27446,2020-09-17T01:20:38.214Z,,2024-03-18T18:01:47.847Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,389.79,7639568092,20,8155321851,379152101,409.74,385.79,-15.34171357774153,-3.7868,-331460667.56312275,-4.15832,19671931.1466508,21000000,21000000,3785.82,-89.70186,2017-12-20T00:00:00.000Z,76.93,406.75277,2018-12-16T00:00:00.000Z,,2024-03-18T18:02:44.234Z,,,
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,7.02,7238567129,21,8232459992,1172634387,8.5,6.93,-1.1057518917062295,-13.61237,-1216507053.6168404,-14.38789,1039156880.1147,1181838516.94235,,20.44,-65.83641,2022-01-16T22:09:45.873Z,0.526762,1225.53032,2020-11-04T16:09:15.137Z,,2024-03-18T18:02:29.866Z,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,82.24,6094164609,22,6887474987,495046671,86.64,81.16,-4.185233959374841,-4.84251,-316564457.2964096,-4.93804,74324745.7334713,84000000,84000000,410.26,-79.94957,2021-05-10T03:13:07.904Z,1.15,7060.15271,2015-01-14T00:00:00.000Z,,2024-03-18T18:02:40.297Z,,,
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,14.82,5871370902,23,16141451101,403883999,15.28,13.78,0.752158,5.34683,311166859,5.59632,395194658.988497,1086460959.50188,,19.92,-25.62752,2023-01-26T14:25:17.390Z,3.08,381.04801,2022-12-29T21:35:14.796Z,,2024-03-18T18:02:31.456Z,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,6.17,5711206382,24,6070373479,3003077,6.22,6.06,0.051558,0.84272,22395491,0.39368,926945625.9,985239504,,8.14,-24.16775,2022-02-08T17:40:10.285Z,0.799859,671.28754,2019-12-24T15:14:35.376Z,,2024-03-18T18:02:20.305Z,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,12.21,5587392703,25,6255485998,168522986,12.78,11.84,-0.4491422826906497,-3.54695,-250416385.89258766,-4.28956,461000403.998359,516122944.198335,,700.65,-98.26902,2021-05-10T16:05:53.653Z,2.87,323.31463,2023-09-22T00:29:57.369Z,,2024-03-18T18:02:47.588Z,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1,4747642698,26,4766406531,312154286,1.004,0.992625,-0.000110578175697595,-0.01106,53525452,1.14027,4747623177.5907,4766386933.45295,,1.22,-17.95253,2020-03-13T03:02:50.373Z,0.88196,13.39536,2023-03-11T07:50:50.514Z,,2024-03-18T18:00:28.523Z,,,
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,8.71,4568019763,27,17056271552,478599333,9.5,8.65,-0.5062434905467423,-5.49495,-271909790.9732628,-5.61805,525151852,1960834904,1960834904,236.84,-96.32721,2021-04-01T13:29:41.564Z,2.64,229.3733,2022-12-16T22:45:28.552Z,,2024-03-18T18:02:10.775Z,,,
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,11.67,4541353533,28,4541732689,235575801,12.4,11.59,-0.6087622241159885,-4.95913,-259390541.10232353,-5.40313,390688369.813272,390720988.275091,,44.45,-73.7605,2022-01-17T00:34:41.497Z,1.16,905.37476,2020-03-13T02:27:44.591Z,,2024-03-18T18:02:42.678Z,115.6682333999734,usd,11566.82333999734
