id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,18.36,10789672097,16,18377912834,786073529,19.47,18.22,-0.20128019684323917,-1.08448,-103987185.9423809,-0.95457,587099971.3083414,1000000000,1000000000,52.7,-65.12491,2021-05-10T00:13:57.214Z,0.148183,12302.20664,2017-11-29T00:00:00.000Z,,2024-03-18T17:41:43.769Z,,,
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,66799,10384520027,17,10384520027,270258387,69075,66392,-1234.2801560002263,-1.81424,-184092817.13420105,-1.74188,155434.89201022,155434.89201022,155434.89201022,73505,-9.12435,2024-03-14T07:10:23.403Z,3139.17,2027.90411,2019-04-02T00:00:00.000Z,,2024-03-18T17:41:49.190Z,,,
matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/polygon.png?1698233745,1.022,9500775342,18,10234658085,547130408,1.098,1.016,-0.05705673179261339,-5.28997,-540234728.010725,-5.38028,9282943566.203985,10000000000,10000000000,2.92,-64.90886,2021-12-27T02:08:34.307Z,0.00314376,32451.78493,2019-05-10T00:00:00.000Z,,2024-03-18T17:41:19.717Z,387.41340584031786,usd,38741.34058403179
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,11.74,8856109342,19,11749138997,207791168,12.66,11.6,-0.8046404923731316,-6.41346,-593857187.620594,-6.28423,753766667,1000000000,1000000000,44.92,-73.9993,2021-05-03T05:25:04.822Z,1.03,1033.69616,2020-09-17T01:20:38.214Z,,2024-03-18T17:41:44.850Z,,,
bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,389.32,7672916678,20,8190921829,371846931,409.74,385.79,-14.444004443911012,-3.57737,-272211618.20094013,-3.42615,19671931.1466508,21000000,21000000,3785.82,-89.69857,2017-12-20T00:00:00.000Z,76.93,406.91434,2018-12-16T00:00:00.000Z,,2024-03-18T17:41:11.673Z,,,
near,near,NEAR Protocol,https://assets.coingecko.com/coins/images/10365/large/near.jpg?1696510367,6.99,7270185968,21,8268421301,1169866796,8.5,7,-1.1628598472982707,-14.26744,-1193624154.2548637,-14.10268,1039156880.1147,1181838665.46793,,20.44,-65.46417,2022-01-16T22:09:45.873Z,0.526762,1239.97306,2020-11-04T16:09:15.137Z,,2024-03-18T17:41:10.788Z,,,
litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1696501400,82.03,6102243779,22,6896605866,492227944,86.64,81.16,-4.10125720524637,-4.76186,-314347703.7747202,-4.89898,74324745.7334713,84000000,84000000,410.26,-79.99218,2021-05-10T03:13:07.904Z,1.15,7044.93689,2015-01-14T00:00:00.000Z,,2024-03-18T17:41:47.176Z,,,
aptos,apt,Aptos,https://assets.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,14.94,5831303526,23,16031099913,428962186,15.28,13.78,0.937335,6.69476,332808411,6.05272,395194671.902823,1086447522.81877,,19.92,-25.89307,2023-01-26T14:25:17.390Z,3.08,379.3304,2022-12-29T21:35:14.796Z,,2024-03-18T17:41:06.863Z,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,6.16,5711469001,24,6070652613,3010353,6.22,6.06,0.02732399,0.4456,46746733,0.82523,926945625.9,985239504,,8.14,-24.10914,2022-02-08T17:40:10.285Z,0.799859,671.88362,2019-12-24T15:14:35.376Z,,2024-03-18T17:41:03.722Z,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,12.15,5602437640,25,6272325182,165712419,12.78,11.84,-0.47981284769512733,-3.79821,-211622178.2986889,-3.63983,461000403.998359,516122557.470161,,700.65,-98.27673,2021-05-10T16:05:53.653Z,2.87,321.42989,2023-09-22T00:29:57.369Z,,2024-03-18T17:41:03.418Z,,,
dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1,4747823017,26,4747823017,302807869,1.004,0.992625,-0.000405675195396471,-0.04055,53129936,1.1317,4747623177.5907,4747623177.5907,,1.22,-17.92074,2020-03-13T03:02:50.373Z,0.88196,13.4393,2023-03-11T07:50:50.514Z,,2024-03-18T17:40:13.278Z,,,
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,8.72,4591745503,27,17144859956,478877973,9.5,8.65,-0.4793798388263486,-5.2112,-225290754.2303753,-4.67696,525151852,1960834927,1960834927,236.84,-96.31902,2021-04-01T13:29:41.564Z,2.64,230.1076,2022-12-16T22:45:28.552Z,,2024-03-18T17:41:15.466Z,,,
cosmos,atom,Cosmos Hub,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,11.64,4552089645,28,4552410182,233274668,12.4,11.6,-0.642211291679537,-5.22956,-235085788.91022396,-4.91074,390688369.813272,390715880.259206,,44.45,-73.79327,2022-01-17T00:34:41.497Z,1.16,904.1192,2020-03-13T02:27:44.591Z,,2024-03-18T17:41:23.247Z,115.381881866487,usd,11538.1881866487
render-token,rndr,Render,https://assets.coingecko.com/coins/images/11636/large/rndr.png?1696511529,11.8,4497205020,30,6274122598,850331025,13.36,11.72,-1.3357929219918194,-10.16811,-547865696.2295532,-10.85943,380659644.393815,531064353.673815,531064353.673815,13.53,-13.21983,2024-03-17T16:30:24.636Z,0.03665669,31941.70831,2020-06-16T13:22:25.900Z,,2024-03-18T17:41:27.978Z,,,
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,30.68,4487272716,29,6471435767,236841410,32.32,30.38,-1.0391689610967418,-3.27665,-148062297.52172375,-3.19421,146098701.327235,210700000,210700000,167.09,-81.61833,2021-05-06T18:34:22.133Z,0.615038,4893.68734,2016-07-25T00:00:00.000Z,,2024-03-18T17:41:48.000Z,67.16718600280385,usd,6716.718600280385
arbitrum,arb,Arbitrum,https://assets.coingecko.com/coins/images/16547/large/photo_2023-03-29_21.47.00.jpeg?1696516109,1.65,4376711187,32,16491375853,747641341,1.75,1.62,-0.08156008265229486,-4.71196,1863610015,74.15579,2653939384,10000000000,10000000000,2.39,-31.57332,2024-01-12T12:29:59.231Z,0.744925,119.56456,2023-09-11T19:40:49.196Z,,2024-03-18T17:41:27.787Z,,,
bittensor,tao,Bittensor,https://assets.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,676.68,4352279799,31,14199016389,46709502,750.27,659.48,-12.784501022371842,-1.85427,-107020648.04958916,-2.39994,6436916,21000000,21000000,757.6,-11.16812,2024-03-07T18:45:36.466Z,30.83,2082.92359,2023-05-14T08:57:53.732Z,,2024-03-18T17:41:37.502Z,,,
immutable-x,imx,Immutable,https://assets.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,2.78,3859024867,33,5555652704,80391408,2.98,2.76,-0.17705485765978812,-5.99195,-241651947.14018393,-5.89298,1389224659.3898141,2000000000,2000000000,9.52,-70.87368,2021-11-26T01:03:01.536Z,0.378055,633.44057,2022-12-31T07:36:37.649Z,,2024-03-18T17:41:30.974Z,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,63.24,3794171161,34,14921064080,12149582,65.08,62.8,-1.527819765197755,-2.35907,-97154244.36216831,-2.49669,60000000,235957685.3,300000000,73.8,-14.31841,2024-03-14T00:30:12.502Z,0.580608,10791.32117,2019-01-14T00:00:00.000Z,,2024-03-18T17:40:53.095Z,,,
blockstack,stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,2.6,3768554820,35,4736922107,66268079,2.8,2.58,-0.17809115293134914,-6.40538,-253118207.14615726,-6.29385,1446346912.45713,1818000000,1818000000,3.47,-25.01793,2024-03-11T08:24:53.109Z,0.04559639,5611.108,2020-03-13T02:29:26.415Z,,2024-03-18T17:41:19.637Z,20.685375167849966,usd,2068.5375167849966
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.397851,3759941630,36,4295435205,240901430,0.437195,0.396493,-0.019646271184964648,-4.70573,-199624581.62749052,-5.04158,9443109861.89204,10788004319,10788004319,2.84,-85.95365,2021-02-12T07:28:45.775Z,0.052051,666.80095,2022-11-22T10:05:03.503Z,,2024-03-18T17:41:05.352Z,,,
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.109396,3690998935,37,5476312208,82978694,0.119579,0.109201,-0.008770886378843256,-7.42245,-294716767.712862,-7.39432,33699675940.9128,50000000000,50000000000,0.569229,-80.76348,2021-09-15T10:40:28.318Z,0.00986111,1010.42076,2020-01-02T17:30:24.852Z,,2024-03-18T17:41:31.098Z,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.126291,3628800129,38,6326837120,110868543,0.133202,0.125587,-0.006153546647462205,-4.64612,-166068853.0034976,-4.37614,28678862391.4262,50001787014.7101,50001787014.7101,0.875563,-85.54847,2018-01-03T00:00:00.000Z,0.00047612,26475.5101,2015-03-05T00:00:00.000Z,,2024-03-18T17:41:16.633Z,,,
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.133638,3556688336,39,4011807917,23879447,0.145287,0.132761,-0.0091742685091305,-6.42402,-236692958.30562353,-6.23963,26596649761.7525,30000000000,,0.965407,-86.15738,2021-11-24T15:53:54.855Z,0.0121196,1002.65765,2019-02-08T00:00:00.000Z,,2024-03-18T17:41:20.414Z,,,
injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1696512670,38.58,3414875350,40,3863321071,258008859,43.22,38.2,-4.1859054474261725,-9.789,-372276090.9973607,-9.82998,88392222.33,100000000,,52.62,-26.76343,2024-03-14T15:06:22.124Z,0.657401,5762.11175,2020-11-03T16:19:30.576Z,,2024-03-18T17:41:31.900Z,,,
optimism,op,Optimism,https://assets.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,3.28,3299164055,41,14083307677,309295519,3.62,3.26,-0.27971728803475937,-7.84909,-291333191.2106204,-8.11401,1006141600,4294967296,4294967296,4.84,-32.43091,2024-03-06T08:35:50.817Z,0.402159,713.92056,2022-06-18T20:54:52.178Z,,2024-03-18T17:41:05.976Z,,,
kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.130166,3007158241,42,3007461607,56803689,0.142935,0.12819,-0.004963246973115455,-3.67296,-109362455.86607218,-3.50912,23049966821.7288,23052292132.498,28704026601,0.189044,-31.32061,2024-02-20T06:54:58.731Z,0.00017105,75804.25077,2022-05-26T14:42:59.316Z,,2024-03-18T17:41:37.334Z,,,
first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,0.997284,2987999549,43,2987999549,13137392603,1.004,0.987043,-0.0007846035612884,-0.07861,-25064464.289741516,-0.83186,2997429241.85,2997429241.85,,1.041,-4.58603,2023-10-23T22:55:15.103Z,0.942129,5.46203,2023-08-17T21:55:41.478Z,,2024-03-18T17:41:27.642Z,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,2.97,2983919740,44,2983919740,126701878,3.34,2.97,-0.16001667392550933,-5.11973,-154261131.73365402,-4.91562,1000000000,1000000000,1000000000,15.72,-81.01798,2021-04-16T13:15:11.190Z,0.04039979,7285.9775,2020-03-13T02:24:16.483Z,,2024-03-18T17:41:17.577Z,18.769837177949732,usd,1876.9837177949732
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.03952447,2875756936,45,3400587521,92510552,0.04284432,0.03925667,-0.002884517248433118,-6.80167,-204146531.15671253,-6.62834,72714516834,85985041177,86712634466,0.280991,-85.92513,2021-04-19T01:08:21.675Z,0.00191713,1962.93055,2020-03-13T02:29:59.652Z,,2024-03-18T17:41:22.196Z,2.9586768249838404,eth,295.86768249838406
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,3055.22,2827412801,46,2990358177,229736533,3310.05,3053.77,-86.77716315055704,-2.76185,-82855433.84350014,-2.847,924359.673639777,977631.036950888,1005577,6292.31,-51.41022,2021-05-03T21:54:29.333Z,168.36,1716.02854,2020-03-16T20:52:36.527Z,,2024-03-18T17:41:24.749Z,,,
pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.00000671,2823384271,47,2823384271,1017423060,0.00000812,0.00000666,-0.000001205468795464,-15.23455,-508502159.8799181,-15.26169,420690000000000,420690000000000,420690000000000,0.00001064,-37.35735,2024-03-14T07:01:12.472Z,5.5142e-8,11984.73087,2023-04-18T02:14:41.591Z,,2024-03-18T17:41:20.623Z,,,
dogwifcoin,wif,dogwifhat,https://assets.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,2.71,2701901779,48,2701901779,920381764,3.26,2.55,0.128112,4.95418,112705251,4.3529,998926392,998926392,998926392,3.47,-22.4696,2024-03-15T02:11:25.613Z,0.00155464,173122.79495,2023-12-13T07:13:50.873Z,,2024-03-18T17:41:08.393Z,,,
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.820331,2645165970,49,5090608022,290586721,0.879509,0.814991,-0.042671369104812173,-4.94452,-137075146.59744835,-4.92679,3231662126.03314,6219316794.99,6219316794.99,1.094,-25.58421,2024-03-11T08:55:07.391Z,0.307978,164.35317,2023-10-18T02:50:46.942Z,,2024-03-18T17:41:25.035Z,,,
fetch-ai,fet,Fetch.ai,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1696506140,2.48,2589610708,50,2861448297,604471932,2.96,2.48,-0.41124620308071824,-14.22845,-430095922.0363474,-14.24297,1043462805,1152997575,1152997575,3.11,-20.23903,2024-03-10T00:24:58.632Z,0.00816959,30245.00572,2020-03-13T02:24:18.347Z,,2024-03-18T17:41:16.605Z,27.59358199990157,usd,2759.3581999901567
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,138.75,2518062311,52,,50108316,145.13,136.77,-6.09479600264703,-4.20787,-112328993.78940725,-4.27043,18147820.3764146,,,542.33,-74.4152,2018-01-09T00:00:00.000Z,0.216177,64084.95083,2015-01-14T00:00:00.000Z,,2024-03-18T17:41:31.772Z,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.893166,2511084004,51,2843698335,650203422,0.945158,0.814136,0.01687988,1.9263,54298648,2.21015,2803634835.52659,3175000000,3175000000,3.46,-74.13225,2021-10-28T05:19:39.845Z,0.00190227,46930.92668,2020-03-13T02:25:38.280Z,,2024-03-18T17:41:19.316Z,28.772188909294776,usd,2877.2188909294778
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,8.12,2446046123,53,4067245692,544973459,9.03,8.1,-0.758928906862014,-8.54975,-219652639.75495768,-8.23996,300700561,500000000,500000000,20.87,-61.09898,2021-05-19T00:30:09.436Z,0.00851264,95260.52345,2019-09-28T00:00:00.000Z,,2024-03-18T17:41:27.636Z,212.62359771359246,usd,21262.359771359246
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.826442,2222843151,54,8309694022,237887075,0.90803,0.813315,-0.05876531045144495,-6.63859,-149909236.8746004,-6.31795,2675000000,10000000000,,1.14,-27.74629,2024-03-16T02:30:23.904Z,0.095364,763.52358,2023-10-19T08:05:30.655Z,,2024-03-18T17:41:22.043Z,,,
celestia,tia,Celestia,https://assets.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,12.88,2211770375,55,13288806358,128195191,14.41,12.86,-1.2088919661975037,-8.578,-213774292.71903276,-8.81346,171509281.174549,1030465753.42455,,20.85,-38.35208,2024-02-10T14:30:02.495Z,2.08,516.9489,2023-10-31T15:14:31.951Z,,2024-03-18T17:41:27.745Z,,,
lido-dao,ldo,Lido DAO,https://assets.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,2.47,2199998849,56,2467197792,95801005,2.76,2.45,-0.24760277272374864,-9.1237,-227585966.609807,-9.375,891699423.464022,1000000000,1000000000,7.3,-66.15333,2021-08-20T08:35:20.158Z,0.40615,508.58811,2022-06-18T20:55:12.035Z,,2024-03-18T17:41:38.979Z,,,
arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1696504946,33.37,2191254406,57,2191254406,99378252,39.42,33.18,-5.960537436269604,-15.15445,-380134470.14326763,-14.78324,65454185.5381511,65454185.5381511,66000000,89.24,-62.49065,2021-11-05T04:14:42.689Z,0.298788,11102.43932,2020-01-31T06:47:36.543Z,,2024-03-18T17:41:21.978Z,44.09645869131728,usd,4409.645869131728
gala,gala,GALA,https://assets.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,0.058546,2103009064,58,2115366788,249984178,0.065375,0.058035,-0.005655714979984663,-8.80932,-208924230.61025405,-9.03678,35922107637.8449,36133193505.7849,50000000000,0.824837,-92.90637,2021-11-26T01:03:48.731Z,0.00013475,43322.01407,2020-12-28T08:46:48.367Z,,2024-03-18T17:41:25.168Z,,,
rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159,3842.75,2091583994,59,2091583994,39242100,4031.8,3834.62,-136.85490130822973,-3.43891,-81276932.29981375,-3.74055,544706.370710123,544706.370710123,,4814.31,-20.25365,2021-12-01T08:03:50.749Z,887.26,332.70535,2022-06-18T20:55:45.957Z,,2024-03-18T17:41:48.068Z,,,
algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1696504978,0.249932,2019636414,60,2019636492,118877272,0.280523,0.247957,-0.02629477413813991,-9.51928,-205272174.57508755,-9.22609,8066797740.34869,8066798053.83055,10000000000,3.56,-92.97674,2019-06-20T14:51:19.480Z,0.087513,185.79475,2023-09-11T19:42:08.247Z,,2024-03-18T17:41:33.720Z,-0.8958618298629111,usd,-89.5861829862911
sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,1.59,1958584896,61,15911595546,614558514,1.74,1.55,0.02373018,1.51976,38452663,2.0026,1230916717.79423,10000000000,10000000000,2.16,-26.6561,2023-05-03T12:00:26.430Z,0.364846,334.72379,2023-10-19T10:40:30.078Z,,2024-03-18T17:41:27.427Z,,,
jupiter-exchange-solana,jup,Jupiter,https://assets.coingecko.com/coins/images/34188/large/jup.png?1704266489,1.43,1936944272,62,14347735348,836165719,1.59,1.25,0.172995,13.76056,232277651,13.62599,1350000000,10000000000,10000000000,2,-28.68814,2024-01-31T15:02:47.304Z,0.457464,211.77242,2024-02-21T18:31:05.083Z,,2024-03-18T17:41:32.475Z,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,1.28,1922032453,63,1922032452,69746436,1.4,1.28,-0.053128966800810584,-3.97076,-78269120.66238832,-3.91287,1494854696,1494854695.77308,1494854695.77308,42.4,-96.97193,2021-04-05T13:49:10.098Z,0.391969,227.5299,2023-09-11T19:41:06.528Z,,2024-03-18T17:41:39.796Z,,,
mantle-staked-ether,meth,Mantle Staked Ether,https://assets.coingecko.com/coins/images/33345/large/symbol_transparent_bg.png?1701697066,3579.27,1888252806,64,1888252806,1548533,3756.52,3556.47,-121.84131675771368,-3.29202,-69344160.44720554,-3.54231,528117.098490979,528117.098490979,,4221.1,-15.61478,2024-03-12T00:54:55.007Z,2142.02,66.29104,2023-12-18T10:41:32.686Z,,2024-03-18T17:41:27.638Z,,,
floki,floki,FLOKI,https://assets.coingecko.com/coins/images/16746/large/PNG_image.png?1696516318,0.00018805,1826847328,66,1880532562,481509985,0.00023332,0.00018439,-0.000037199304602208,-16.51449,-341746657.1240084,-15.7589,9714521117263,10000000000000,10000000000000,0.00033651,-44.77264,2021-11-04T06:58:35.285Z,8.428e-8,220407.91782,2021-07-06T01:11:20.438Z,,2024-03-18T17:41:27.556Z,,,
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,124.8,1818788798,65,1827332004,51800474,135.31,123.9,-4.771628014551112,-3.68249,-71496947.53122067,-3.78234,14544176.164091088,14612493,14612493,427.42,-70.76237,2021-09-11T09:15:00.668Z,0.215773,57816.42554,2018-08-23T00:00:00.000Z,,2024-03-18T17:41:37.810Z,14.357274619025116,eth,1435.7274619025118
